date,tweet,kasus_baru,clean_tweet
2021-12-04,PM NL waktu preskon terakhirnya memperketat PPKM sini sempet bahas risiko KDRT untuk perempuan yang makin besar di,246,pm nl preskon terakhirnya memperketat ppkm sempet bahas risiko kdrt perempuan
2021-12-04,Akhir tahun malah ppkm,246,ppkm
2021-12-04,Jelang Pemberlakuan PPKM Level saat Nataru Polsek Mojoroto Laksanakan Operasi Yustisi Imbauan dan Sosialisasi,246,jelang pemberlakuan ppkm level nataru polsek mojoroto laksanakan operasi yustisi imbauan sosialisasi
2021-12-04,N me is F loe siapa nenek yg harus diturutin perintahnya,246,dengan pasti  f loe nenek yang diturutin perintahnya
2021-12-04,Kebasen Desember KaSPK Unit III AIPTU MISLAN amp Anggota Samapta AIPDA TRISNA AGUNG S S H giat patroli mal,246,kebasen desember kaspk unit iii aiptu mislan sampai anggota samapta aipda trisna agung saja saja sudah giat patroli mal
2021-12-04,OPERASI YUSTISI TIM PEMBURU COVID POLSEK MATRAMAN BERSAMA UNSUR TIGA PILAR DALAM RANGKA OPS KONTIJENSI AMAN NU,246,operasi yustisi jawa timur pemburu covid polsek matraman unsur pilar rangka ops kontijensi aman menuntut
2021-12-04,Dapat kabar toys fair batal dikarenakan mau PPKM di Batam Seperti nya saya akan menjual botol dan gelas Starbucks,246,kabar toys fair batal ppkm batam nya menjual botol gelas starbucks
2021-12-05,Aturan PPKM Level se RI selama Libur Nataru Desember Januari,196,aturan ppkm level ri libur nataru desember januari
2021-12-05,PPKM Level Ini Perubahan Waktu Operasional Transjakarta Mulai Senin Desember,196,ppkm level perubahan operasional transjakarta senin desember
2021-12-05,yustisi malam ppkm berbasis mikro darurat dlm rangka penegakkan disiplin protokol kesehatan covid bersama satpo,196,yustisi malam ppkm berbasis mikro darurat dlm rangka penegakkan disiplin protokol kesehatan covid satpo
2021-12-05,des jan ppkm o,196,des jan ppkm kalau
2021-12-05,Unit sabhara polsek Bantul Melaksanakan giat Patroli dialogis serta Himbauan PPKM sambang serta menyampaikan pes,196,unit sabhara polsek bantul melaksanakan giat patroli dialogis himbauan ppkm sambang pes
2021-12-05,Kalau boleh tau info dari mana ya mau di terapkan ppkm level serentak,196,memantau info iya terapkan ppkm level serentak
2021-12-05,PPKM Luar Jawa dan Bali Berakhir Hari Ini,196,ppkm jawa bali
2021-12-05,Ya sebelum ppkm dong,196,iya ppkm
2021-12-05,PPKM Level Polres Kepulauan Seribu dan Polsek Jajaran melaksanakan Kegiatan Pengawasan ProKes dan Cek Scan Barcod,196,ppkm level polres kepulauan seribu polsek jajaran melaksanakan kegiatan pengawasan prokes cek scan barcod
2021-12-05,PPKM Level Polres Kepulauan Seribu dan Polsek Jajaran melaksanakan Kegiatan Pengawasan ProKes dan Cek Scan Barcod,196,ppkm level polres kepulauan seribu polsek jajaran melaksanakan kegiatan pengawasan prokes cek scan barcod
2021-12-05,PPKM Level Polres Kepulauan Seribu dan Polsek Jajaran melaksanakan Kegiatan Pengawasan ProKes dan Cek Scan Barcod,196,ppkm level polres kepulauan seribu polsek jajaran melaksanakan kegiatan pengawasan prokes cek scan barcod
2021-12-05,PPKM Level Polres Kepulauan Seribu dan Polsek Jajaran melaksanakan Kegiatan Pengawasan ProKes dan Cek Scan Barcod,196,ppkm level polres kepulauan seribu polsek jajaran melaksanakan kegiatan pengawasan prokes cek scan barcod
2021-12-05,PPKM Level Polres Kepulauan Seribu dan Polsek Jajaran melaksanakan Kegiatan Pengawasan ProKes dan Cek Scan Barcod,196,ppkm level polres kepulauan seribu polsek jajaran melaksanakan kegiatan pengawasan prokes cek scan barcod
2021-12-05,PPKM Level Polres Kepulauan Seribu dan Polsek Jajaran melaksanakan Kegiatan Pengawasan ProKes dan Cek Scan Barcod,196,ppkm level polres kepulauan seribu polsek jajaran melaksanakan kegiatan pengawasan prokes cek scan barcod
2021-12-05,PPKM Level Polres Kepulauan Seribu dan Polsek Jajaran melaksanakan Kegiatan Pengawasan ProKes dan Cek Scan Barcod,196,ppkm level polres kepulauan seribu polsek jajaran melaksanakan kegiatan pengawasan prokes cek scan barcod
2021-12-05,PPKM jaga jarak,196,ppkm jaga jarak
2021-12-05,Cegah Covid Polres Kepulauan Seribu dan Polsek Jajaran melakukan Himbauan ProKes dan membagikan Masker ke warga,196,cegah covid polres kepulauan seribu polsek jajaran himbauan prokes membagikan masker warga
2021-12-05,Cegah Covid Polres Kepulauan Seribu dan Polsek Jajaran melakukan Himbauan ProKes dan membagikan Masker ke warga,196,cegah covid polres kepulauan seribu polsek jajaran himbauan prokes membagikan masker warga
2021-12-05,Cegah Covid Polres Kepulauan Seribu dan Polsek Jajaran melakukan Himbauan ProKes dan membagikan Masker ke warga,196,cegah covid polres kepulauan seribu polsek jajaran himbauan prokes membagikan masker warga
2021-12-05,Cegah Covid Polres Kepulauan Seribu dan Polsek Jajaran melakukan Himbauan ProKes dan membagikan Masker ke warga,196,cegah covid polres kepulauan seribu polsek jajaran himbauan prokes membagikan masker warga
2021-12-05,InfoSonora Perluasan penambahan Titik Kawasan Ganjil Genap GAGE Pada Masa PPKM Level di Jakarta diper,196,infosonora perluasan penambahan titik kawasan ganjil genap gage ppkm level jakarta diper
2021-12-05,DKI PPKM Level Jam Operasional Transjakarta Kembali Dibatasi,196,dki ppkm level jam operasional transjakarta dibatasi
2021-12-05,Kan malah enak staycation pas ppkm,196,enak staycation pas ppkm
2021-12-05,Perluasan penambahan Titik Kawasan Ganjil Genap GAGE Pada Masa PPKM Level di Jakarta diperluas menjadi tit,196,perluasan penambahan titik kawasan ganjil genap gage ppkm level jakarta diperluas tit
2021-12-05,Patroli memberikan himbauan dan teguran kepada Masyarakat Pemilik Usaha PKL dalam rangka PPKM Level I di Wilayah,196,patroli himbauan teguran masyarakat pemilik usaha pkl rangka ppkm level supaya wilayah
2021-12-05,gas wes mari e ppkm ben seru,196,gas wes mari besar ppkm benar seru
2021-12-05,Selamat pagi Saat ini masih di dalam masa pandemi dg masih berlaku PPKM di dalam KRL masih tersedia mar,196,selamat pagi pandemi dengan berlaku ppkm krl tersedia kemarin
2021-12-05,Ppkm tgl nder sek suwe lah sek iso kadel,196,ppkm tgl nder sek suwe sek iso kadel
2021-12-05,Sbelum ppkm gas,196,sbelum ppkm gas
2021-12-05,LAGU CORONA BUNUH JUTAAN ORANG Wajib PPKM Wajib Vaksin Wajib Protokol Kesehatan,196,lagu corona bunuh jutaan orang wajib ppkm wajib vaksin wajib protokol kesehatan
2021-12-05,LAGU CORONA BUNUH JUTAAN ORANG Wajib PPKM Wajib Vaksin Wajib Protokol Kesehatan,196,lagu corona bunuh jutaan orang wajib ppkm wajib vaksin wajib protokol kesehatan
2021-12-05,Yuk gas sebelum ppkm rooms on me foods on you,196,yuk gas ppkm rooms berbicara pasti foods berbicara you
2021-12-05,makane ora ppkm terus tol kntl koe gawe aturan dewe malah koe dewe le rugi ngising beling,196,makane ora ppkm tol kntl koe gawe aturan dewe koe dewe le rugi ngising beling
2021-12-05,Sebanyak persen responden tidak setuju sama sekali dan persen kurang setuju terhadap perpanjangan kebijak,196,persen responden setuju persen setuju perpanjangan kebijak
2021-12-05,KARANGANYAR Serka Purwanto Babinsa Koramil Tasikmadu melaksanakan patroli PPKM membagikan masker kepada masyar,196,karanganyar serka purwanto babinsa koramil tasikmadu melaksanakan patroli ppkm membagikan masker masyar
2021-12-05,KARANGANYAR Serka Purwanto Babinsa Koramil Tasikmadu melaksanakan patroli PPKM membagikan masker kepada masyar,196,karanganyar serka purwanto babinsa koramil tasikmadu melaksanakan patroli ppkm membagikan masker masyar
2021-12-05,KARANGANYAR Serka Purwanto Babinsa Koramil Tasikmadu melaksanakan patroli PPKM membagikan masker kepada masyar,196,karanganyar serka purwanto babinsa koramil tasikmadu melaksanakan patroli ppkm membagikan masker masyar
2021-12-05,guru gue bilang kalian gaada libur soalnya kalo libur takutnya kalian malah jalan jalan kan lagi ppkm jadi mending,196,guru gue bilang gaada libur kalau libur takutnya jalan jalan ppkm mending
